Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
Stefan,Galakticos,2,18,0.67,47,26,109,6.00,0.65,0.19,0.19,0.28,205,458,10.1,6.20,0.18,297,0.15,222,0.19,0.35,0.41,0.78
stillnumb,Beşiktaş Esports,3,19,0.68,62,45,68,2.90,0.68,0.33,0.21,0.21,56,23,1.1,9.10,0.29,433,0.27,279,0.27,0.35,0.14,0.47
Tolerant,Galatasaray Esports,5,10,0.70,1,29,51,1.80,0.60,0.01,0.21,0.20,-130,122,2.4,1.10,0.03,96,0.07,82,0.08,1.61,0.38,0.30
Typhoon,Royal Youth,2,14,0.64,28,39,46,1.90,0.67,0.26,0.17,0.07,-412,-350,-7.1,5.20,0.16,236,0.15,171,0.18,0.4,0.28,0.14
Umut,5 Ronin,3,18,0.50,55,36,100,4.30,0.73,0.26,0.17,0.28,60,-154,1.6,8.80,0.28,483,0.28,279,0.26,0.45,0.16,0.56
unmanagable,Team AURORA,3,2,0.50,1,7,7,1.10,0.50,0.06,0.23,1.00,-361,-433,-18,7.40,0.22,316,0.21,185,0.20,0.41,0.08,0.00
Urban,Team AURORA,2,7,0.57,9,28,34,1.50,0.65,0.14,0.23,0.14,-338,-214,-7.5,5.10,0.12,193,0.14,164,0.17,0.34,0.41,0.14
Virtue,Beşiktaş Esports,4,1,1.00,2,1,9,11.00,0.55,0.10,0.13,0.00,-1154,-927,-83,1.00,0.05,227,0.12,144,0.11,0.9,0.46,1.00
WaenA,Team AURORA,3,2,0.00,12,5,12,4.80,0.69,0.34,0.14,0.50,106,275,-1,7.60,0.25,493,0.26,276,0.26,0.58,0.19,0.50
Wasteee,Dark Passage,4,16,0.31,48,35,86,3.80,0.66,0.24,0.20,0.25,-80,-120,-2.9,8.20,0.28,478,0.28,261,0.24,0.38,0.31,0.56
xKenzuke,Galakticos,3,18,0.56,54,33,109,4.90,0.67,0.22,0.24,0.28,-9,-50,-6.8,8.80,0.27,525,0.27,283,0.24,0.44,0.24,0.78
Zeitnot,SuperMassive Esports,4,14,0.36,56,28,79,4.80,0.61,0.26,0.21,0.21,497,197,11.4,9.20,0.32,521,0.28,317,0.26,0.34,0.29,0.71
Zergsting,Galatasaray Esports,5,8,0.63,5,28,67,2.60,0.69,0.05,0.37,0.50,-63,-7,2,1.20,0.04,138,0.07,112,0.10,1.28,0.28,0.63
Acidy,Mkers,1,14,0.43,31,35,98,3.70,0.52,0.13,0.28,0.29,112,157,8.7,7.20,0.21,465,0.21,247,0.19,0.52,0.18,0.86
aki,Outplayed,3,14,0.57,47,36,91,3.80,0.65,0.22,0.24,0.07,48,36,1.6,8.40,0.29,546,0.29,273,0.25,0.37,0.14,0.64
Blackino,Cyberground Gaming,1,14,0.57,27,55,49,1.40,0.48,0.17,0.23,0.36,-232,-37,-12,6.40,0.22,424,0.25,195,0.20,0.4,0.1,0.36
Brizz,Campus Party Sparks,5,14,0.43,12,38,113,3.30,0.77,0.07,0.24,0.36,27,-182,3.2,1.20,0.04,145,0.09,101,0.09,1.37,0.29,0.50
Ceasarna,Cyberground Gaming,2,12,0.58,25,43,61,2.00,0.63,0.18,0.21,0.33,181,170,7.7,5.50,0.17,308,0.18,186,0.19,0.37,0.28,0.33
Click,Samsung Morning Stars,5,14,0.29,11,24,148,6.60,0.75,0.05,0.17,0.36,196,157,-2.5,1.00,0.03,190,0.09,120,0.10,1.12,0.27,0.71
Cohle,Campus Party Sparks,3,14,0.64,49,20,81,6.50,0.80,0.30,0.13,0.14,-6,18,0.4,8.80,0.29,494,0.29,270,0.26,0.46,0.1,0.50
Crocomux,DayDreamers,3,15,0.71,42,46,58,2.20,0.74,0.31,0.17,0.20,-228,-74,-8.1,7.70,0.29,634,0.37,230,0.26,0.37,0.1,0.13
darkchri,Racoon,5,14,0.43,6,26,107,4.30,0.56,0.03,0.18,0.21,59,-28,4.1,1.30,0.03,116,0.06,104,0.09,1.18,0.28,0.64
de sideré,DayDreamers,2,3,0.00,8,17,17,1.50,0.57,0.18,0.19,0.00,-557,-647,-14.7,4.40,0.13,282,0.12,180,0.18,0.29,0.15,0.00
Deidara,Racoon,1,14,0.21,41,39,63,2.70,0.51,0.20,0.27,0.14,328,-75,7.1,7.30,0.23,388,0.21,245,0.22,0.51,0.17,0.64
depressedirl,Cyberground Gaming,3,2,0.00,2,8,7,1.10,0.43,0.10,0.24,0.00,-479,-267,-16.5,6.80,0.23,319,0.16,184,0.19,0.3,0.06,0.50
Eckas,Samsung Morning Stars,2,14,0.64,48,23,99,6.40,0.69,0.23,0.16,0.43,348,320,7.6,5.80,0.18,310,0.14,228,0.19,0.44,0.33,0.71
Edward,Mkers,5,14,0.86,15,25,139,6.20,0.62,0.06,0.20,0.21,206,117,5,1.50,0.04,168,0.08,134,0.11,1.35,0.51,0.86
Endz,Mkers,4,14,0.43,66,22,81,6.70,0.60,0.27,0.18,0.14,424,272,10.6,9.00,0.29,544,0.26,326,0.25,0.22,0.23,0.86
Eneino,YDN Esports,4,15,0.57,52,35,51,2.90,0.71,0.36,0.14,0.27,-395,-368,-7.9,8.50,0.34,399,0.25,264,0.29,0.35,0.18,0.20
Fresskowy,Racoon,3,14,0.57,68,25,65,5.30,0.66,0.34,0.17,0.43,329,205,9.2,8.40,0.25,598,0.30,284,0.26,0.41,0.15,0.64
Fðx,Cyberground Gaming,5,14,0.64,9,45,86,2.10,0.61,0.06,0.19,0.36,-130,-116,0.6,0.90,0.02,119,0.07,84,0.09,1.2,0.2,0.36
Gine,Campus Party Sparks,2,14,0.50,29,33,102,4.00,0.80,0.18,0.21,0.43,-99,-32,-2.8,5.10,0.15,237,0.14,187,0.18,0.31,0.27,0.50
Guè,YDN Esports,2,10,0.20,10,37,42,1.40,0.61,0.12,0.24,0.20,-417,-727,-17.4,4.80,0.17,179,0.12,152,0.17,0.44,0.28,0.20
Guubi,Samsung Morning Stars,4,14,0.50,49,34,96,4.30,0.68,0.23,0.24,0.36,248,241,3.8,8.40,0.28,578,0.26,287,0.24,0.33,0.16,0.71
Horizon,YDN Esports,5,15,0.71,9,53,81,1.70,0.62,0.06,0.22,0.27,7,123,-1.9,1.00,0.03,154,0.10,86,0.09,1.11,0.27,0.20
Jenxas,Cyberground Gaming,2,2,1.00,3,5,12,3.00,0.71,0.14,0.15,0.50,270,447,11.5,6.80,0.24,464,0.23,217,0.23,0.16,0.19,0.50
Kazuki,Cyberground Gaming,3,4,0.50,7,21,17,1.10,0.60,0.18,0.28,0.00,-415,-421,-9,6.20,0.20,361,0.23,185,0.20,0.41,0.11,0.25
knighter,Samsung Morning Stars,3,14,0.36,53,27,90,5.30,0.68,0.25,0.19,0.07,184,146,2.2,8.50,0.28,585,0.28,287,0.24,0.41,0.2,0.71
Lotus,Outplayed,2,14,0.57,49,28,97,5.20,0.69,0.23,0.18,0.29,-23,-153,-0.9,4.90,0.16,306,0.16,201,0.18,0.63,0.38,0.64
Mistil,Cyberground Gaming,4,14,0.36,54,38,44,2.60,0.62,0.34,0.16,0.21,-191,-117,-3.5,8.70,0.32,396,0.22,264,0.27,0.37,0.32,0.36
Nomi,DayDreamers,4,15,0.64,40,46,52,2.00,0.68,0.30,0.17,0.27,-133,-112,-0.7,8.40,0.31,488,0.27,246,0.27,0.38,0.17,0.13
Occlumats,Campus Party Sparks,1,14,0.57,30,43,63,2.20,0.57,0.18,0.27,0.21,-68,-56,-5.4,7.20,0.25,353,0.22,230,0.22,0.4,0.18,0.50
OMON,Cyberground Gaming,3,8,0.63,30,27,35,2.40,0.68,0.31,0.20,0.13,-231,-235,-9.1,8.40,0.30,548,0.32,263,0.26,0.3,0.17,0.38
PatkicaA,Outplayed,1,14,0.43,48,33,88,4.10,0.64,0.23,0.22,0.21,-80,-77,-2.8,6.50,0.23,403,0.22,226,0.21,0.4,0.12,0.64
PesE,YDN Esports,1,15,0.43,21,40,51,1.80,0.50,0.15,0.16,0.27,-214,-389,-6.6,6.50,0.21,283,0.19,187,0.20,0.36,0.12,0.20
Ploxy,Racoon,2,14,0.50,40,27,71,4.10,0.55,0.20,0.18,0.21,-21,70,-1,5.90,0.19,308,0.17,214,0.19,0.39,0.33,0.64
PonZ,DayDreamers,1,12,0.42,11,45,35,1.00,0.51,0.12,0.25,0.17,-178,109,-2.4,6.00,0.20,247,0.16,166,0.19,0.36,0.15,0.17
Rawbin IV,Mkers,2,14,0.57,42,28,127,6.00,0.68,0.17,0.22,0.29,249,293,4.6,5.60,0.16,384,0.18,233,0.18,0.54,0.2,0.86
Rharesh,Racoon,4,14,0.43,48,30,66,3.80,0.56,0.24,0.20,0.14,-82,140,-3.4,8.40,0.29,483,0.25,275,0.24,0.47,0.34,0.64
Ryujin,YDN Esports,2,5,0.75,18,16,25,2.70,0.72,0.30,0.17,0.40,-35,-159,0,5.00,0.14,304,0.19,194,0.20,0.58,0.3,0.20
S1d,Outplayed,5,14,0.50,10,28,141,5.40,0.71,0.05,0.18,0.07,40,153,-4,1.00,0.03,159,0.08,112,0.10,1.37,0.23,0.64
Shredder,DayDreamers,5,15,0.14,11,51,76,1.70,0.64,0.08,0.19,0.27,-378,-219,-4.1,0.80,0.03,126,0.07,80,0.09,0.98,0.27,0.13
Skar,DayDreamers,1,3,1.00,8,16,11,1.20,0.43,0.18,0.18,0.00,98,372,9.7,8.10,0.31,464,0.22,270,0.27,0.25,0.08,0.00
StenBosse,Samsung Morning Stars,1,14,0.86,51,35,80,3.70,0.62,0.24,0.25,0.21,302,333,11.5,7.20,0.22,498,0.23,267,0.22,0.41,0.18,0.71
Taba,Outplayed,4,14,0.43,58,27,74,4.90,0.62,0.27,0.18,0.14,310,67,7.1,8.00,0.29,471,0.25,276,0.25,0.52,0.29,0.64
Taxer,DayDreamers,2,10,0.30,13,39,41,1.40,0.71,0.17,0.26,0.20,-309,-94,-2.2,5.40,0.17,184,0.12,173,0.19,0.28,0.33,0.20
Unbannedx,Campus Party Sparks,4,14,0.64,43,25,61,4.20,0.64,0.26,0.16,0.21,-144,-89,-5.3,8.40,0.28,495,0.28,258,0.25,0.36,0.17,0.50
Vaniiali,YDN Esports,3,15,0.43,35,64,43,1.20,0.54,0.24,0.26,0.13,-366,-243,-4.9,7.60,0.26,484,0.32,214,0.24,0.36,0.16,0.20
Zwyroo,Mkers,3,14,0.21,93,16,70,10.20,0.66,0.38,0.13,0.21,401,227,10.7,9.50,0.30,602,0.27,345,0.27,0.4,0.15,0.86
AndyBendy,Team Cloud Drake,4,17,0.53,72,50,107,3.60,0.61,0.25,0.15,0.47,280,198,8.3,8.30,0.28,502,0.23,277,0.24,0.42,0.19,0.41
APA,Team Mountain Drake,3,20,0.61,54,75,93,2.00,0.60,0.22,0.20,0.10,-49,137,1.1,8.30,0.25,514,0.28,248,0.24,0.48,0.1,0.35
Copy,Team Infernal Drake,3,18,0.50,78,45,166,5.40,0.64,0.21,0.21,0.33,73,-16,1.1,7.90,0.24,525,0.24,275,0.23,0.43,0.17,0.72
CptShrimps,Team Cloud Drake,3,17,0.35,74,59,120,3.30,0.66,0.25,0.17,0.35,54,-60,-2.9,7.20,0.22,587,0.26,253,0.22,0.37,0.21,0.41
Gible,Team Mountain Drake,1,20,0.56,37,100,78,1.20,0.47,0.15,0.27,0.10,-368,-332,-3.9,7.10,0.22,395,0.21,216,0.21,0.32,0.07,0.35
Hooks,Team Cloud Drake,5,17,0.41,23,77,148,2.20,0.58,0.08,0.23,0.53,89,-88,-1.6,1.10,0.03,161,0.07,112,0.10,1.13,0.38,0.41
Iconic,Team Mountain Drake,2,20,0.56,63,69,88,2.20,0.62,0.26,0.18,0.20,-131,-129,-1.1,6.80,0.23,365,0.19,224,0.21,0.32,0.44,0.35
Joey,Team Ocean Drake,5,19,0.53,25,77,166,2.50,0.60,0.08,0.24,0.16,-76,98,1.6,1.20,0.03,190,0.10,106,0.09,1.66,0.43,0.53
Niles,Team Cloud Drake,1,17,0.47,64,70,81,2.10,0.49,0.22,0.21,0.29,269,90,7.8,7.80,0.25,575,0.26,272,0.23,0.44,0.12,0.41
Nxi,Team Ocean Drake,2,19,0.65,113,40,102,5.40,0.67,0.35,0.13,0.21,-29,-219,-6.3,7.50,0.26,385,0.20,282,0.24,0.27,0.32,0.53
Plux,Team Mountain Drake,5,20,0.67,22,82,136,1.90,0.65,0.09,0.22,0.25,-227,-101,-1.5,1.10,0.03,163,0.09,97,0.09,1.48,0.33,0.35
Rodov,Team Ocean Drake,1,19,0.47,47,76,118,2.20,0.51,0.15,0.24,0.16,-132,-35,-4.4,6.80,0.22,392,0.20,231,0.20,0.33,0.08,0.53
RoseThorn,Team Cloud Drake,2,17,0.47,61,84,128,2.30,0.64,0.21,0.25,0.53,-32,14,1.9,6.60,0.22,405,0.18,240,0.21,0.41,0.33,0.41
Shady,Team Infernal Drake,5,18,0.39,37,43,202,5.60,0.63,0.10,0.20,0.44,249,91,1.5,1.20,0.04,192,0.09,129,0.10,1.31,0.4,0.72
Shoryu,Team Infernal Drake,4,18,0.56,97,36,134,6.40,0.61,0.26,0.17,0.39,84,-118,-2.8,8.00,0.29,535,0.25,286,0.23,0.47,0.17,0.72
Spawn,Team Mountain Drake,4,20,0.44,69,48,89,3.30,0.65,0.28,0.13,0.25,-186,-22,-1.4,8.10,0.26,450,0.24,256,0.24,0.37,0.19,0.35
Tomio,Team Infernal Drake,2,18,0.33,95,47,151,5.20,0.65,0.25,0.22,0.28,207,361,6,6.80,0.22,469,0.21,264,0.22,0.28,0.27,0.72
Tony Top,Team Infernal Drake,1,18,0.50,74,40,110,4.60,0.48,0.19,0.19,0.17,294,321,1.6,7.00,0.21,432,0.21,270,0.22,0.41,0.16,0.72
Yeon,Team Ocean Drake,4,19,0.47,74,61,131,3.40,0.64,0.23,0.19,0.05,-134,-42,-3.3,7.90,0.25,500,0.25,272,0.23,0.38,0.19,0.53
Yunbee,Team Ocean Drake,3,19,0.53,62,64,124,2.90,0.58,0.19,0.20,0.11,-67,-75,0.4,8.30,0.25,474,0.25,274,0.23,0.44,0.21,0.53
Ablazeolive,Golden Guardians Academy,3,18,0.33,61,48,126,3.90,0.76,0.25,0.22,0.50,59,8,-1.1,8.20,0.25,514,0.25,262,0.24,0.42,0.17,0.56
Akaadian,Dignitas Academy,2,12,0.58,32,25,79,4.40,0.77,0.22,0.18,0.42,52,99,2.9,6.40,0.20,290,0.17,218,0.20,0.39,0.35,0.50
Allorim,Immortals Academy,1,6,0.50,15,12,24,3.30,0.68,0.26,0.19,0.17,-667,-278,-12.2,7.40,0.22,302,0.18,225,0.21,0.39,0.17,0.50
Altec,Immortals Academy,4,12,0.42,39,32,51,2.80,0.65,0.28,0.17,0.25,-277,58,-5.3,9.10,0.32,490,0.27,282,0.27,0.41,0.3,0.42
AnDa,Evil Geniuses Academy,2,18,0.50,59,39,132,4.90,0.81,0.25,0.16,0.44,214,340,9.1,6.10,0.18,346,0.16,221,0.20,0.49,0.52,0.50
Apollo,Immortals Academy,4,6,0.17,14,14,30,3.10,0.77,0.25,0.22,0.17,140,471,14.3,9.20,0.29,504,0.28,283,0.26,0.48,0.38,0.50
Armao,Team Liquid Academy,2,18,0.56,32,70,75,1.50,0.62,0.19,0.24,0.33,98,179,5.1,5.70,0.16,302,0.17,179,0.18,0.38,0.26,0.17
Big,FlyQuest Academy,5,18,0.50,10,61,99,1.80,0.66,0.06,0.26,0.28,-51,77,0.6,1.00,0.03,132,0.08,85,0.08,1.54,0.29,0.39
Biofrost,TSM Academy,5,8,0.63,11,17,77,5.20,0.84,0.11,0.17,0.25,-85,126,1.1,1.30,0.04,164,0.09,113,0.10,1.75,0.46,0.50
Breezyyy,100 Thieves Academy,5,12,0.58,10,22,108,5.40,0.71,0.06,0.15,0.25,-130,26,-1.9,1.10,0.03,154,0.08,108,0.10,1.27,0.32,0.58
Chime,Golden Guardians Academy,5,18,0.50,14,51,150,3.20,0.66,0.06,0.23,0.17,-15,-170,-0.8,1.10,0.03,163,0.08,96,0.09,1.33,0.36,0.56
Contractz,100 Thieves Academy,2,6,0.33,26,11,40,6.00,0.76,0.30,0.16,0.33,195,304,2.8,6.20,0.22,341,0.17,235,0.21,0.44,0.54,0.67
Dardoch,Dignitas Academy,2,6,0.83,16,16,33,3.10,0.75,0.25,0.24,0.33,72,226,1,5.50,0.16,243,0.15,201,0.19,0.52,0.34,0.33
Darshan,Golden Guardians Academy,1,18,0.61,72,39,95,4.30,0.68,0.29,0.18,0.44,231,221,8,7.70,0.26,526,0.26,271,0.25,0.47,0.13,0.56
Deftly,Evil Geniuses Academy,4,18,0.67,67,33,102,5.10,0.72,0.29,0.14,0.11,19,-6,-4.7,8.40,0.28,614,0.29,283,0.26,0.39,0.39,0.50
Dhokla,TSM Academy,1,18,0.67,51,53,104,2.90,0.59,0.19,0.26,0.06,225,275,7.4,7.50,0.24,485,0.24,243,0.22,0.36,0.23,0.67
Diamond,Cloud9 Academy,5,18,0.56,16,41,166,4.40,0.62,0.06,0.22,0.22,-111,150,-5.5,1.40,0.04,156,0.08,111,0.09,1.31,0.31,0.72
Eika,Immortals Academy,3,12,0.50,39,35,49,2.50,0.64,0.28,0.19,0.25,193,-35,2.3,8.70,0.27,491,0.27,271,0.26,0.45,0.23,0.42
Evolved,TSM Academy,3,18,0.61,80,39,104,4.70,0.69,0.30,0.19,0.11,-213,-155,-3.4,8.70,0.28,524,0.27,279,0.25,0.59,0.19,0.67
FakeGod,100 Thieves Academy,1,18,0.50,63,43,79,3.30,0.56,0.25,0.20,0.06,46,45,2.7,7.70,0.25,423,0.22,265,0.23,0.45,0.19,0.61
Fanatiik,FlyQuest Academy,2,18,0.56,37,37,92,3.50,0.78,0.22,0.16,0.39,-122,-242,-4.8,5.00,0.13,191,0.12,176,0.17,0.47,0.38,0.39
Fenix,Dignitas Academy,3,6,0.50,19,11,26,4.10,0.69,0.29,0.16,0.17,-67,-25,1,8.90,0.27,448,0.29,255,0.25,0.26,0.21,0.33
Fill,CLG Academy,5,18,0.67,22,45,119,3.10,0.61,0.10,0.21,0.44,180,214,3.9,1.40,0.04,162,0.10,109,0.10,1.36,0.36,0.50
Fragas,CLG Academy,2,16,0.31,26,49,117,2.90,0.70,0.13,0.25,0.38,-52,-116,-4.4,4.70,0.14,236,0.13,166,0.16,0.41,0.41,0.50
Froggen,Dignitas Academy,3,12,0.67,35,18,77,6.20,0.77,0.24,0.13,0.17,190,114,4.4,9.00,0.27,461,0.27,274,0.25,0.42,0.26,0.50
Fudge,Cloud9 Academy,1,18,0.83,80,32,113,6.00,0.66,0.27,0.17,0.33,182,97,4.6,8.20,0.26,522,0.26,293,0.25,0.41,0.13,0.72
Gate,Immortals Academy,5,12,0.58,9,47,75,1.80,0.61,0.07,0.25,0.33,41,-76,0.1,1.10,0.03,145,0.08,90,0.08,1.78,0.36,0.42
Giyuu,Evil Geniuses Academy,3,18,0.50,54,57,108,2.80,0.69,0.23,0.24,0.33,132,1,1.3,8.30,0.26,514,0.24,262,0.24,0.47,0.16,0.50
Griffin,CLG Academy,2,2,0.00,2,5,17,3.80,0.70,0.07,0.26,0.00,-389,-197,4,5.40,0.13,231,0.15,177,0.15,0.4,0.6,0.50
Hakuho,Immortals Academy,5,6,0.33,2,13,42,3.40,0.77,0.04,0.21,0.33,60,-126,-7.2,0.60,0.01,218,0.13,89,0.08,1.31,0.23,0.50
Hard,Golden Guardians Academy,2,18,0.56,44,45,120,3.60,0.66,0.18,0.21,0.61,76,-3,-1.3,5.50,0.18,285,0.14,198,0.18,0.42,0.42,0.56
Huni,Evil Geniuses Academy,1,10,0.40,30,29,69,3.40,0.67,0.20,0.20,0.20,82,-62,2.8,7.20,0.24,568,0.27,241,0.22,0.29,0.12,0.50
Inori,Cloud9 Academy,2,18,0.44,54,36,138,5.30,0.66,0.18,0.19,0.44,59,-73,-2.7,5.30,0.15,279,0.14,203,0.17,0.39,0.3,0.72
Insanity,Immortals Academy,3,6,0.50,15,13,29,3.40,0.77,0.26,0.21,0.33,-199,-179,-0.5,8.70,0.27,500,0.28,271,0.25,0.53,0.25,0.50
JayJ,Dignitas Academy,5,18,0.39,9,45,144,3.40,0.73,0.04,0.22,0.33,64,-303,-2.6,1.00,0.03,143,0.09,92,0.09,1.38,0.41,0.44
Jenkins,Team Liquid Academy,1,18,0.28,34,68,68,1.50,0.59,0.20,0.23,0.06,-213,-224,-5.7,7.50,0.25,428,0.25,233,0.23,0.42,0.15,0.17
Keith,Golden Guardians Academy,4,18,0.50,56,37,93,4.00,0.60,0.23,0.17,0.11,168,55,3.8,8.60,0.29,562,0.27,270,0.25,0.39,0.3,0.56
Kenvi,100 Thieves Academy,2,6,0.83,22,13,47,5.30,0.65,0.21,0.22,0.17,133,301,5.8,6.00,0.20,356,0.16,238,0.20,0.41,0.45,0.83
Kumo,Evil Geniuses Academy,1,8,0.38,10,27,38,1.80,0.55,0.11,0.27,0.25,179,87,7.9,8.00,0.24,434,0.21,240,0.21,0.48,0.17,0.50
Lost,TSM Academy,4,18,0.39,84,26,112,7.50,0.74,0.32,0.13,0.33,171,-115,1.8,8.70,0.30,565,0.29,299,0.27,0.42,0.3,0.67
Lourlo,Dignitas Academy,1,10,0.50,26,23,55,3.50,0.63,0.20,0.23,0.20,-518,-274,-14.4,7.40,0.23,281,0.18,227,0.21,0.46,0.16,0.50
Mash,FlyQuest Academy,4,12,0.58,23,19,50,3.80,0.63,0.20,0.13,0.25,-226,-166,-7.7,9.60,0.32,399,0.26,289,0.27,0.47,0.32,0.50
Matt Elento,Evil Geniuses Academy,5,18,0.50,15,58,151,2.90,0.71,0.06,0.24,0.17,107,67,6.3,1.40,0.03,146,0.07,103,0.09,1.18,0.17,0.50
Meteos,100 Thieves Academy,2,6,0.67,5,21,23,1.30,0.47,0.08,0.25,0.33,-1,37,0.5,5.40,0.17,216,0.13,167,0.16,0.22,0.41,0.33
Neo,Dignitas Academy,4,18,0.39,57,40,91,3.70,0.71,0.27,0.19,0.33,-14,149,-5.7,8.90,0.29,459,0.28,273,0.25,0.49,0.33,0.44
Palafox,Cloud9 Academy,3,18,0.28,84,41,121,5.00,0.70,0.29,0.22,0.28,200,11,0.6,8.80,0.26,577,0.29,298,0.25,0.48,0.2,0.72
Pobelter,CLG Academy,3,2,1.00,9,1,9,18.00,0.67,0.33,0.05,0.00,-107,290,6.5,10.60,0.32,406,0.26,320,0.27,0.44,0.34,0.50
Poome,100 Thieves Academy,5,6,0.50,1,18,55,3.10,0.64,0.01,0.25,0.33,-139,-56,1.3,1.10,0.03,110,0.06,104,0.09,1.28,0.39,0.67
Potluck,Immortals Academy,2,12,0.33,22,35,55,2.20,0.56,0.16,0.19,0.42,-82,-262,-7.1,5.20,0.16,228,0.13,175,0.17,0.32,0.32,0.42
Prismal,100 Thieves Academy,4,18,0.33,67,48,97,3.40,0.65,0.27,0.22,0.28,39,-145,4.3,8.50,0.29,600,0.30,283,0.25,0.42,0.26,0.61
Revenge,FlyQuest Academy,1,18,0.39,33,53,58,1.70,0.55,0.20,0.23,0.17,43,-67,-3.4,7.60,0.24,314,0.21,230,0.22,0.34,0.19,0.39
Rhino,Team Liquid Academy,5,6,0.67,3,31,31,1.10,0.53,0.05,0.25,0.17,-91,-160,-0.8,1.20,0.03,166,0.08,83,0.08,1.52,0.3,0.17
Rikara,Team Liquid Academy,4,18,0.61,49,35,61,3.10,0.64,0.28,0.12,0.11,-189,-49,-0.6,9.30,0.31,424,0.25,270,0.27,0.34,0.23,0.17
rjs,CLG Academy,1,15,0.27,35,36,76,3.10,0.59,0.19,0.19,0.13,-85,-132,-8.2,7.50,0.25,412,0.23,240,0.23,0.38,0.12,0.47
Ruin,CLG Academy,1,3,0.67,6,5,21,5.40,0.64,0.14,0.21,0.00,294,546,3.3,8.00,0.24,340,0.22,265,0.23,0.45,0.19,0.67
sOAZ,Immortals Academy,1,12,0.58,29,36,60,2.50,0.65,0.21,0.20,0.25,-24,99,3.2,7.50,0.23,446,0.25,233,0.23,0.45,0.22,0.42
Soligo,100 Thieves Academy,3,18,0.50,59,38,106,4.30,0.65,0.23,0.18,0.17,-48,133,2.1,8.10,0.25,503,0.26,262,0.23,0.5,0.16,0.61
Tomo,Cloud9 Academy,4,18,0.44,59,41,118,4.30,0.60,0.20,0.22,0.11,203,140,14.6,8.60,0.29,476,0.24,277,0.23,0.56,0.34,0.72
Treatz,TSM Academy,5,10,0.40,6,20,113,6.00,0.74,0.04,0.19,0.50,80,182,1,1.40,0.04,192,0.09,112,0.10,1.29,0.17,0.80
Triple,FlyQuest Academy,3,18,0.50,48,43,71,2.80,0.72,0.29,0.19,0.22,-44,40,2.9,9.30,0.29,501,0.31,269,0.26,0.42,0.24,0.39
Tuesday,CLG Academy,3,16,0.38,63,42,81,3.40,0.71,0.31,0.21,0.19,-132,-176,-10.7,8.40,0.28,471,0.26,268,0.25,0.4,0.09,0.50
V1per,Dignitas Academy,1,8,0.38,16,31,34,1.60,0.62,0.20,0.29,0.13,-206,-345,-5.4,7.40,0.23,365,0.22,225,0.22,0.42,0.17,0.38
WildTurtle,FlyQuest Academy,4,6,0.67,14,18,24,2.10,0.78,0.29,0.21,0.33,-359,-100,-4.7,9.10,0.32,530,0.32,258,0.27,0.39,0.34,0.17
Wind,CLG Academy,4,18,0.72,68,34,86,4.50,0.67,0.29,0.16,0.39,11,-81,-8.1,8.40,0.29,495,0.29,287,0.26,0.46,0.25,0.50
Winston,TSM Academy,2,18,0.50,33,51,133,3.30,0.63,0.13,0.25,0.33,-182,-232,-3.6,5.10,0.15,226,0.11,177,0.16,0.26,0.39,0.67
Xmithie,Immortals Academy,2,6,0.33,11,11,38,4.50,0.86,0.19,0.18,0.50,-500,-75,3.3,6.40,0.20,238,0.13,218,0.20,0.56,0.36,0.50
Yama,Team Liquid Academy,5,12,0.17,4,40,60,1.60,0.59,0.04,0.24,0.25,-97,-67,0.7,0.90,0.02,105,0.07,74,0.07,1.44,0.27,0.17
Yusui,Team Liquid Academy,3,18,0.72,51,49,51,2.10,0.59,0.30,0.17,0.17,-123,100,1.9,8.70,0.26,438,0.26,252,0.25,0.47,0.21,0.17
Ace,V3 Esports,3,14,0.50,48,19,127,9.20,0.75,0.21,0.18,0.50,133,42,-1.3,7.70,0.22,412,0.21,258,0.22,0.46,0.2,0.86
Alchemy,Crest Gaming Act,5,14,0.57,16,39,134,3.80,0.74,0.08,0.22,0.21,13,9,0.5,1.10,0.03,160,0.09,102,0.10,1.59,0.28,0.64
apaMEN,Sengoku Gaming,1,14,0.57,44,29,65,3.80,0.58,0.23,0.25,0.14,433,379,17.6,8.70,0.28,423,0.22,288,0.25,0.29,0.19,0.71
Archer,V3 Esports,4,14,0.36,56,19,109,8.70,0.71,0.24,0.18,0.29,280,249,8.2,9.70,0.34,600,0.30,316,0.27,0.44,0.41,0.86
Aria,Crest Gaming Act,3,14,0.57,68,29,70,4.80,0.68,0.34,0.17,0.00,207,135,9.4,8.40,0.28,572,0.30,275,0.26,0.57,0.34,0.64
Art,Rascal Jester,4,14,0.79,45,44,66,2.50,0.79,0.32,0.15,0.21,66,-312,0.2,9.30,0.35,579,0.32,288,0.30,0.34,0.36,0.14
Arumik,Fukuoka SoftBank Hawks gaming,1,15,0.21,29,38,52,2.10,0.52,0.19,0.25,0.13,-276,-239,-4.3,7.20,0.21,297,0.19,209,0.20,0.41,0.13,0.47
Blank,Sengoku Gaming,2,14,0.57,47,23,108,6.70,0.82,0.25,0.20,0.29,94,157,4.5,6.20,0.19,368,0.18,224,0.19,0.51,0.39,0.71
