Player,Team,Pos,GP,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,W%
Stxrm,LowLandLions,5,1,1.00,0,7,5,0.70,0.46,0.00,0.33,0.00,1192,691,70,4.90,0.11,119,0.07,132,0.14,0.28,0.03,0.00
Yeetified,mCon esports Rotterdam,3,1,1.00,2,3,1,1.00,0.50,0.33,0.16,0.00,-43,-64,-3,9.10,0.32,348,0.28,234,0.29,0.23,0.2,0.00
Zhergoth,PSV Esports,1,10,0.60,36,19,43,4.20,0.45,0.21,0.20,0.10,-43,72,3.5,8.30,0.27,485,0.22,284,0.23,0.4,0.09,0.80
Abbedagge,FC Schalke 04 Esports,3,18,0.61,63,38,77,3.70,0.69,0.31,0.18,0.11,57,22,1.9,9.50,0.29,542,0.29,279,0.26,0.43,0.26,0.44
Alphari,Origen,1,18,0.67,37,43,73,2.60,0.64,0.22,0.22,0.33,262,232,14.5,8.20,0.26,432,0.25,251,0.24,0.45,0.14,0.33
Bwipo,Fnatic,1,18,0.28,49,69,93,2.10,0.64,0.22,0.26,0.22,-107,-222,-7.6,7.30,0.22,418,0.22,239,0.21,0.52,0.13,0.50
Cabochard,Team Vitality,1,18,0.56,35,41,72,2.60,0.55,0.18,0.19,0.11,-181,-33,-4.2,6.80,0.20,315,0.20,207,0.20,0.5,0.15,0.39
Caedrel,Excel Esports,2,18,0.61,26,40,73,2.50,0.60,0.16,0.19,0.39,16,5,1.5,4.90,0.13,170,0.10,164,0.15,0.52,0.41,0.44
Caps,G2 Esports,3,18,0.44,86,38,95,4.80,0.71,0.34,0.16,0.22,88,-71,-1.4,9.20,0.27,575,0.29,303,0.26,0.4,0.19,0.61
Carzzy,MAD Lions,4,18,0.67,55,35,121,5.00,0.69,0.22,0.18,0.33,-418,-377,-21.3,6.90,0.24,515,0.25,249,0.22,0.61,0.28,0.67
Comp,Team Vitality,4,18,0.56,72,41,82,3.80,0.80,0.37,0.19,0.33,19,141,-1.9,9.80,0.33,579,0.34,314,0.29,0.44,0.31,0.39
Crownshot,SK Gaming,4,18,0.39,64,33,87,4.60,0.70,0.30,0.15,0.33,141,199,8.3,9.50,0.32,546,0.31,308,0.28,0.37,0.33,0.50
Dan Dan,Misfits Gaming,1,18,0.61,40,36,61,2.80,0.55,0.22,0.15,0.06,-150,-157,-6.7,7.90,0.26,411,0.23,251,0.24,0.44,0.12,0.39
denyk,Misfits Gaming,5,5,0.40,4,23,33,1.60,0.67,0.07,0.27,0.00,-221,146,1.6,0.90,0.03,162,0.08,85,0.08,1.67,0.24,0.40
Destiny,Origen,5,9,0.78,6,18,53,3.30,0.62,0.06,0.23,0.11,45,88,-0.4,0.90,0.02,103,0.06,83,0.08,1.76,0.29,0.44
Doss,Misfits Gaming,5,13,0.38,3,41,75,1.90,0.60,0.02,0.26,0.08,-3,-21,-0.8,1.00,0.02,117,0.07,85,0.08,1.54,0.28,0.38
Dreams,FC Schalke 04 Esports,5,15,0.20,13,36,111,3.40,0.66,0.07,0.22,0.33,12,16,-0.1,0.90,0.02,150,0.08,89,0.08,1.5,0.28,0.53
FEBIVEN,Misfits Gaming,3,18,0.61,44,47,75,2.50,0.64,0.24,0.20,0.22,-121,-64,0.3,8.80,0.27,505,0.29,259,0.25,0.33,0.23,0.39
Finn,Rogue,1,18,0.39,34,37,110,3.90,0.60,0.14,0.29,0.39,77,127,-2.6,7.30,0.23,419,0.24,242,0.21,0.49,0.12,0.72
Gilius,FC Schalke 04 Esports,2,12,0.50,48,25,75,4.90,0.69,0.27,0.19,0.50,-11,58,0.4,5.70,0.17,283,0.14,210,0.18,0.51,0.46,0.67
Hans sama,Rogue,4,18,0.44,80,31,82,5.20,0.67,0.33,0.24,0.06,145,116,5.8,9.30,0.31,524,0.28,313,0.27,0.37,0.43,0.72
Humanoid,MAD Lions,3,18,0.33,79,50,99,3.60,0.70,0.31,0.25,0.28,106,185,8.3,9.30,0.30,606,0.31,310,0.27,0.44,0.19,0.67
Hylissang,Fnatic,5,18,0.61,15,82,127,1.70,0.64,0.07,0.31,0.50,37,119,-3.9,1.10,0.03,156,0.08,106,0.09,1.4,0.36,0.50
Innaxe,FC Schalke 04 Esports,4,3,0.33,8,9,5,1.40,0.87,0.53,0.21,0.00,-362,-185,-17.3,8.90,0.31,663,0.39,263,0.28,0.34,0.41,0.00
Inspired,Rogue,2,18,0.39,30,18,144,9.70,0.72,0.12,0.14,0.44,116,-20,-2.2,5.00,0.14,178,0.10,179,0.16,0.36,0.49,0.72
Jactroll,Origen,5,9,0.67,2,34,49,1.50,0.67,0.03,0.28,0.11,-197,-163,-2.7,0.80,0.02,124,0.07,74,0.07,1.87,0.23,0.22
Jankos,G2 Esports,2,18,0.56,39,48,123,3.40,0.64,0.15,0.21,0.39,-61,81,-0.4,5.20,0.15,257,0.14,190,0.17,0.49,0.39,0.61
Jenax,SK Gaming,1,18,0.50,47,47,80,2.70,0.59,0.22,0.22,0.33,-23,-68,-3.7,7.60,0.23,403,0.23,231,0.21,0.45,0.16,0.50
Kaiser,MAD Lions,5,18,0.61,24,36,152,4.90,0.69,0.09,0.18,0.28,204,160,13.2,2.30,0.06,212,0.10,131,0.11,1.56,0.32,0.67
Kobbe,Misfits Gaming,4,18,0.56,58,33,70,3.90,0.69,0.31,0.14,0.06,-86,15,-0.9,9.30,0.32,475,0.27,294,0.28,0.3,0.28,0.39
Kryze,Excel Esports,1,18,0.44,34,44,53,2.00,0.53,0.21,0.21,0.22,30,58,-0.7,8.60,0.27,392,0.24,270,0.24,0.42,0.14,0.44
Labrov,Team Vitality,5,18,0.44,7,47,148,3.30,0.80,0.04,0.22,0.33,-4,-174,0.8,1.00,0.03,124,0.07,92,0.09,1.73,0.37,0.39
Larssen,Rogue,3,18,0.61,86,26,84,6.50,0.70,0.36,0.20,0.28,186,232,4.4,9.80,0.31,576,0.31,326,0.28,0.36,0.17,0.72
LIMIT,SK Gaming,5,18,0.50,16,45,141,3.50,0.72,0.07,0.21,0.33,-88,-81,-5.1,1.00,0.03,162,0.09,105,0.09,1.9,0.33,0.50
Lurox,FC Schalke 04 Esports,2,6,0.50,4,15,12,1.10,0.62,0.15,0.19,0.50,-58,-44,-2.7,5.30,0.15,145,0.10,149,0.16,0.48,0.46,0.00
Mikyx,G2 Esports,5,18,0.44,14,53,133,2.80,0.58,0.06,0.23,0.28,150,117,5.3,1.60,0.04,162,0.09,112,0.10,1.68,0.42,0.61
Milica,Team Vitality,3,18,0.56,56,34,79,4.00,0.70,0.29,0.16,0.17,-80,-33,-5.3,9.50,0.31,471,0.29,288,0.27,0.51,0.28,0.39
Nemesis,Fnatic,3,18,0.56,49,43,83,3.10,0.60,0.22,0.16,0.11,-118,-179,-3.4,9.30,0.27,469,0.25,289,0.25,0.37,0.23,0.50
Neon,FC Schalke 04 Esports,4,15,0.33,39,32,94,4.20,0.70,0.21,0.19,0.27,27,-20,0.6,9.10,0.29,554,0.29,276,0.26,0.35,0.34,0.53
Nji,Team Vitality,2,9,0.67,5,28,43,1.70,0.56,0.06,0.29,0.22,-126,-161,-3.7,4.90,0.14,135,0.09,165,0.15,0.78,0.37,0.44
nukeduck,Origen,3,18,0.56,37,42,80,2.80,0.68,0.22,0.21,0.28,-5,101,-2.2,8.50,0.25,405,0.23,244,0.24,0.44,0.18,0.33
Nukes,FC Schalke 04 Esports,5,3,0.67,2,8,9,1.40,0.73,0.13,0.19,0.33,136,-195,2.3,1.10,0.03,82,0.06,76,0.08,1.72,0.36,0.00
Odoamne,FC Schalke 04 Esports,1,18,0.56,27,46,110,3.00,0.67,0.13,0.22,0.39,-1,67,6.4,7.60,0.23,364,0.20,227,0.22,0.43,0.18,0.44
Orome,MAD Lions,1,18,0.67,50,33,94,4.40,0.57,0.20,0.17,0.28,-5,4,-1.4,7.80,0.26,410,0.20,263,0.23,0.43,0.13,0.67
P1noy,G2 Esports,4,2,0.50,7,5,11,3.60,0.53,0.21,0.17,1.00,-444,-132,-39,3.70,0.13,352,0.15,180,0.16,0.71,0.15,0.50
Patrik,Excel Esports,4,18,0.50,65,37,63,3.50,0.78,0.40,0.18,0.28,73,38,4.7,9.40,0.30,566,0.33,298,0.27,0.46,0.29,0.44
Perkz,G2 Esports,4,16,0.44,62,41,77,3.40,0.63,0.28,0.20,0.13,-17,-2,0.8,9.70,0.33,540,0.28,311,0.27,0.36,0.32,0.63
Razork,Misfits Gaming,2,18,0.44,36,61,92,2.10,0.69,0.20,0.25,0.28,10,-9,3.1,5.20,0.14,245,0.14,175,0.16,0.48,0.36,0.39
Rekkles,Fnatic,4,18,0.50,55,24,114,7.00,0.76,0.25,0.09,0.44,196,-62,5.3,9.20,0.30,476,0.26,292,0.26,0.35,0.32,0.50
Selfmade,Fnatic,2,18,0.39,54,44,99,3.50,0.69,0.24,0.17,0.44,49,244,5.5,6.40,0.19,345,0.19,222,0.19,0.47,0.34,0.50
Shad0w,MAD Lions,2,18,0.44,47,46,130,3.80,0.69,0.18,0.23,0.50,57,-12,-1.2,4.80,0.14,254,0.13,184,0.16,0.5,0.36,0.67
Skeanz,Team Vitality,2,9,0.56,18,24,53,3.00,0.66,0.17,0.20,0.56,-45,-89,-2.4,5.00,0.15,200,0.11,167,0.16,0.48,0.29,0.33
Special,Excel Esports,3,18,0.28,36,45,69,2.30,0.64,0.22,0.22,0.17,-74,-122,-0.9,9.30,0.28,384,0.23,271,0.25,0.44,0.19,0.44
Tore,Excel Esports,5,18,0.50,3,43,115,2.70,0.72,0.02,0.21,0.22,-101,-88,-4.4,1.10,0.03,143,0.09,88,0.08,1.4,0.41,0.44
Trick,SK Gaming,2,18,0.61,30,51,114,2.80,0.66,0.14,0.24,0.33,20,-39,-1.1,5.00,0.14,208,0.12,172,0.16,0.33,0.3,0.50
Upset,Origen,4,18,0.61,61,22,69,5.90,0.76,0.36,0.11,0.11,32,-8,6.2,9.80,0.34,585,0.32,292,0.28,0.41,0.36,0.33
Vander,Rogue,5,18,0.50,12,17,135,8.60,0.61,0.05,0.13,0.11,-92,-21,-4.5,0.90,0.02,128,0.07,95,0.08,1.56,0.26,0.72
Wunder,G2 Esports,1,18,0.33,46,49,91,2.80,0.54,0.18,0.21,0.28,97,-6,6.1,7.90,0.24,428,0.22,250,0.22,0.49,0.12,0.61
Xerxe,Origen,2,18,0.44,28,39,87,2.90,0.67,0.16,0.20,0.39,-96,-149,-1.6,4.80,0.14,241,0.13,162,0.16,0.62,0.45,0.33
